1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 1.0, 0.0; 0.0, 0.0; 0.0, 0.0
0.9397558306975577, 0.0, 0.0, 3.676350555631741E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 0.9397558306975577, 0.03059001618990795; 0.0, 0.0; 0.0, 0.0
0.8614608010334032, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.495512479012735E-7, 0.0, 0.0, 0.0, 0.0, 5.918352020383376E-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 0.8614608010334032, 0.0718509649063789; 0.0, 0.0; 0.0, 0.0
0.7917051032322051, 0.0, 0.0, 1.1567976034396865E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.60419743865559E-9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.953859711918877E-10, 0.0, 0.0, 0.0, 2.4361886014528383E-7, 0.0, 0.0, 0.0; 0.7917051032322051, 0.11022212227261276; 0.0, 0.0; 0.0, 0.0
0.7255977393149853, 1.551389132558166E-12, 0.0, 2.9564515608258635E-6, 9.819637677517009E-9, 0.0, 0.0, 0.0, 3.507299308162976E-7, 0.0, 0.0, 0.0, 1.0238094763643003E-6, 0.0, 0.0, 2.1587900951636918E-7, 0.0, 2.772202677075064E-10, 0.0, 0.0, 0.0, 0.0, 1.0421659170101643E-9, 0.0, 0.0, 0.0, 0.0, 0.0, 8.910874408728773E-8, 3.1253509433945197E-12; 0.7255977393149853, 0.14818057736874538; 0.0, 0.0; 0.0, 0.0
0.6681120353904051, 3.719358154796724E-12, 0.0, 1.664798789060187E-7, 5.563255985969492E-9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.444729314142204E-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 0.6681120353904051, 0.18261882603409507; 0.0, 0.0; 0.0, 0.0
0.6094286198037385, 5.0158585319900665E-11, 3.244889934652658E-9, 1.407552965859521E-6, 2.97268072191801E-8, 0.0, 0.0, 2.639777915955594E-7, 0.0, 0.0, 8.295418390419113E-7, 0.0, 9.79144132186869E-7, 5.173771718759521E-8, 0.0, 0.0, 1.9934958021214534E-10, 9.532017960958038E-11, 0.0, 2.649783657200465E-7, 1.0596407829030787E-10, 0.0, 1.3972067391589196E-9, 6.7103339599257E-10, 0.0, 1.2622528054661055E-7, 0.0, 0.0, 0.0, 0.0; 0.6094286198037385, 0.21934165580340273; 0.0, 0.0; 0.0, 0.0
0.5639645870065076, 3.719358154796724E-12, 0.0, 3.0403422278675005E-6, 6.5726048127110215E-9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0421659170101643E-9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 0.5639645870065076, 0.24902483413416251; 0.0, 0.0; 0.0, 0.0
0.519025903604204, 0.0, 9.271114099007594E-10, 0.0, 1.5056175089881007E-8, 0.0, 1.7854295841921685E-11, 1.651405274526584E-7, 4.090497864743664E-7, 0.0, 0.0, 0.0, 6.603321078156596E-7, 0.0, 0.0, 2.4479255185078536E-7, 0.0, 1.0730945395049817E-10, 0.0, 1.3868136564473718E-7, 0.0, 5.724492396692693E-8, 1.2196366632533427E-10, 1.9172382742644852E-10, 0.0, 0.0, 2.010209246867909E-6, 0.0, 1.6565570819752137E-7, 1.6026121501183613E-11; 0.519025903604204, 0.27956624375191297; 0.0, 0.0; 0.0, 0.0
0.47745435118542545, 5.3102248908418306E-11, 3.7084456396030376E-9, 7.947305680334857E-7, 1.7491075561615504E-7, 0.0, 0.0, 3.95349056571604E-7, 0.0, 0.0, 9.374739986670431E-7, 0.0, 0.0, 1.4978087525911834E-7, 0.0, 0.0, 1.9934958021214534E-10, 0.0, 0.0, 3.247361609756093E-7, 1.2110180376035185E-10, 0.0, 2.2261214152955516E-9, 7.668953097057943E-10, 0.0, 1.491065463946444E-7, 0.0, 0.0, 0.0, 0.0; 0.47745435118542545, 0.3090198788531195; 0.0, 0.0; 0.0, 0.0
0.43914989150789585, 6.43406839408365E-11, 8.344002689106835E-9, 2.975345534198173E-6, 3.571068199057155E-7, 0.0, 1.5161579838477812E-11, 8.732683768695372E-7, 3.546110840141545E-7, 0.0, 4.394841376631522E-7, 0.0, 3.301660539078298E-7, 3.0286384923756446E-7, 0.0, 2.1269259340010463E-7, 4.654144905559386E-11, 8.467217810373171E-11, 0.0, 7.498221373287326E-7, 2.422036075207037E-10, 2.8622461983463467E-8, 3.0394521006031633E-9, 1.7255144468380371E-9, 0.0, 1.909229144509973E-7, 1.1700248300183722E-6, 0.0, 1.4150130935410093E-7, 1.2635075390922176E-11; 0.43914989150789585, 0.3373178342986271; 0.0, 0.0; 0.0, 0.0
0.40423006266916983, 0.0, 1.8542228198015188E-9, 0.0, 1.7184365935654766E-8, 0.0, 3.0323159676955624E-11, 1.651405274526584E-7, 7.09222168028309E-7, 0.0, 0.0, 0.0, 6.603321078156596E-7, 0.0, 0.0, 4.2538518680020926E-7, 0.0, 1.0730945395049817E-10, 0.0, 2.0069963075502788E-7, 0.0, 5.724492396692693E-8, 2.3833560948887674E-11, 3.8344765485289715E-10, 3.810987725402904E-8, 1.921601029588081E-7, 2.0964307998914606E-6, 0.0, 2.8300261870820187E-7, 2.5270150781844352E-11; 0.40423006266916983, 0.364210130724783; 0.0, 0.0; 0.0, 0.0
0.3744044555562471, 1.0031717063980133E-10, 7.416891279206075E-9, 4.02913541129921E-6, 3.485146369378881E-7, 0.0, 0.0, 7.90698113143208E-7, 0.0, 0.0, 1.8749479973340863E-6, 0.0, 0.0, 2.995617505182367E-7, 0.0, 0.0, 3.9869916042429067E-10, 3.1017451128482625E-11, 0.0, 6.494723219512186E-7, 2.422036075207037E-10, 0.0, 4.005462884772826E-9, 1.5337906194115886E-9, 0.0, 2.982130927892888E-7, 0.0, 0.0, 0.0, 0.0; 0.3744044555562471, 0.38811580623514497; 0.0, 0.0; 0.0, 0.0
0.34428237090502595, 1.0031717063980133E-10, 7.416891279206075E-9, 4.212952939080797E-6, 3.485146369378881E-7, 0.0, 0.0, 7.90698113143208E-7, 0.0, 0.0, 1.8749479973340863E-6, 0.0, 0.0, 2.995617505182367E-7, 0.0, 0.0, 3.9869916042429067E-10, 3.1017451128482625E-11, 0.0, 6.494723219512186E-7, 2.422036075207037E-10, 0.0, 4.005462884772826E-9, 1.5337906194115886E-9, 0.0, 2.982130927892888E-7, 0.0, 0.0, 0.0, 0.0; 0.34428237090502595, 0.41324605964376687; 0.0, 0.0; 0.0, 0.0
0.3184420516037689, 2.1878513437774037E-11, 7.416891279206075E-9, 2.8779831614136354E-6, 2.001954691014688E-7, 0.0, 0.0, 7.90698113143208E-7, 0.0, 0.0, 1.8564438169175891E-6, 0.0, 8.237665534243099E-7, 2.995617505182367E-7, 0.0, 0.0, 3.533469134533894E-10, 2.7543428365953056E-11, 0.0, 6.494723219512186E-7, 2.422036075207037E-10, 1.1448984793385387E-7, 3.6185924338626306E-9, 1.5337906194115886E-9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 0.3184420516037689, 0.43569499893586766; 0.0, 0.0; 0.0, 0.0
0.29342568871815755, 0.0, 3.7084456396030376E-9, 1.6186042804120742E-7, 1.000977345507344E-7, 0.0, 0.0, 3.95349056571604E-7, 4.384124135203722E-8, 0.0, 9.166567956984838E-7, 0.0, 1.9811006339238466E-6, 1.4978087525911834E-7, 0.0, 2.6984876189546148E-8, 1.4492477799718852E-10, 1.3771714182976528E-11, 0.0, 3.247361609756093E-7, 1.2110180376035185E-10, 1.717347719007808E-7, 8.572567377557578E-10, 7.668953097057943E-10, 0.0, 0.0, 6.474982992041417E-8, 0.0, 1.113859301091096E-8, 8.265278299654097E-12; 0.29342568871815755, 0.4583131703730054; 0.0, 0.0; 0.0, 0.0
0.27025700717234963, 1.0031717063980133E-10, 7.416891279206075E-9, 4.607534213019053E-6, 3.485146369378881E-7, 0.0, 0.0, 7.90698113143208E-7, 0.0, 0.0, 1.8749479973340863E-6, 0.0, 0.0, 3.0286384923756446E-7, 0.0, 0.0, 3.9869916042429067E-10, 3.1017451128482625E-11, 0.0, 6.494723219512186E-7, 2.422036075207037E-10, 0.0, 4.30315587036877E-9, 1.5337906194115886E-9, 0.0, 2.982130927892888E-7, 1.2180943007264192E-7, 0.0, 0.0, 0.0; 0.27025700717234963, 0.4801395802304061; 0.0, 0.0; 0.0, 0.0
0.2506406937003983, 0.0, 1.8542228198015188E-9, 2.8995852056682986E-6, 1.0676793458950605E-7, 0.0, 0.0, 5.254850599041784E-7, 0.0, 0.0, 4.502328189170243E-7, 0.0, 0.0, 6.266481804821297E-8, 8.372836621067231E-6, 0.0, 0.0, 0.0, 0.0, 2.390311810222511E-7, 6.055090188017594E-11, 0.0, 1.4375624141210514E-9, 3.8344765485289704E-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0; 0.2506406937003983, 0.49936266180911326; 0.0, 0.0; 0.0, 0.0
0.23069101573985246, 1.9609664300506823E-11, 3.7084456396030376E-9, 1.484751689097369E-6, 1.000977345507344E-7, 0.0, 0.0, 4.1568280709231875E-7, 0.0, 0.0, 9.120307505943595E-7, 0.0, 1.8989460085377598E-6, 1.4978087525911834E-7, 0.0, 0.0, 1.2677966750907745E-10, 3.2689643351842385E-11, 0.0, 3.247361609756093E-7, 1.2110180376035185E-10, 1.717347719007808E-7, 1.1137148067898361E-9, 7.668953097057943E-10, 0.0, 0.0, 0.0, 0.0, 0.0, 8.056535325111603E-12; 0.23069101573985246, 0.5196982426805152; 0.0, 0.0; 0.0, 0.0
0.21262018592166354, 3.9219328601013647E-11, 0.0, 3.049886822947329E-7, 2.1076453096961938E-9, 0.0, 2.0771275217253772E-11, 0.0, 3.3397378228027703E-7, 0.0, 0.0, 0.0, 1.3321821769611184E-6, 0.0, 0.0, 2.595631760125048E-7, 0.0, 2.430606077333107E-10, 0.0, 1.9165775133611618E-8, 0.0, 0.0, 6.09317253798596E-10, 0.0, 1.3977992410426778E-7, 1.4205923071964606E-6, 1.6380105503698E-6, 2.020367199553935E-7, 1.8466649580468746E-7, 1.122480742099386E-11; 0.21262018592166354, 0.5388938297027153; 0.0, 0.0; 0.0, 0.0
0.19587174952098224, 0.0, 3.7084456396030376E-9, 0.0, 1.000977345507344E-7, 0.0, 0.0, 3.95349056571604E-7, 4.384124135203722E-8, 0.0, 9.166567956984838E-7, 0.0, 2.4115863845389074E-6, 1.4978087525911834E-7, 0.0, 2.6984876189546148E-8, 1.222486545117379E-10, 1.8102192249559689E-10, 0.0, 3.247361609756093E-7, 1.2110180376035185E-10, 1.717347719007808E-7, 0.0, 7.668953097057943E-10, 0.0, 0.0, 0.0, 0.0, 1.113859301091096E-8, 4.531557459138879E-12; 0.19587174952098224, 0.5574270966726779; 0.0, 0.0; 0.0, 0.0
0.18110045626098176, 2.943663588517641E-12, 4.635557049503797E-10, 2.2610399511354467E-6, 2.8354769621329028E-8, 0.0, 0.0, 4.067782886819683E-9, 0.0, 0.0, 7.480092409229676E-8, 0.0, 0.0, 2.4407068734330796E-8, 1.3841646878971347E-6, 0.0, 0.0, 0.0, 0.0, 5.975779525556278E-8, 1.5137725470043985E-11, 0.0, 1.1266076617325757E-9, 9.586191371322426E-11, 0.0, 2.2881265848033862E-8, 0.0, 0.0, 0.0, 2.257143130338979E-12; 0.18110045626098176, 0.5744419506324394; 0.0, 0.0; 0.0, 0.0
0.16742680991531178, 0.0, 0.0, 3.550575261552695E-7, 0.0, 0.0, 0.0, 0.0, 4.384124135203722E-8, 0.0, 0.0, 0.0, 1.5692173572116917E-6, 0.0, 0.0, 2.6984876189546148E-8, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1448984793385387E-7, 3.23581071064493E-10, 0.0, 0.0, 0.0, 6.474982992041417E-8, 0.0, 1.113859301091096E-8, 8.265278299654097E-12; 0.16742680991531178, 0.5908223266671183; 0.0, 0.0; 0.0, 0.0
0.15467854189557173, 0.0, 9.271114099007594E-10, 1.3978470073617556E-6, 5.338396729475302E-8, 0.0, 0.0, 2.627425299520892E-7, 0.0, 0.0, 2.1586431925026359E-7, 0.0, 8.292829532761299E-7, 4.881413746866159E-8, 2.7683293757942693E-6, 0.0, 0.0, 1.0232833441678284E-10, 0.0, 1.1951559051112556E-7, 3.027545094008797E-11, 0.0, 1.2110494064549871E-9, 1.9172382742644852E-10, 0.0, 4.5762531696067724E-8, 0.0, 0.0, 0.0, 7.639637204072478E-12; 0.15467854189557173, 0.6067095024698056; 0.0, 0.0; 0.0, 0.0
0.14208012450432517, 7.843865720202729E-11, 0.0, 2.969503378194738E-6, 0.0, 0.0, 0.0, 4.0667501041429513E-8, 0.0, 0.0, 0.0, 0.0, 9.434403545477779E-7, 0.0, 0.0, 0.0, 4.5352246970901274E-11, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2274296135796722E-9, 0.0, 0.0, 0.0, 4.015822053124051E-7, 0.0, 0.0, 9.038355856371292E-12; 0.14208012450432517, 0.6230659246572735; 0.0, 0.0; 0.0, 0.0
0.13145648186917708, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.384124135203722E-8, 0.0, 0.0, 0.0, 2.622486313524607E-6, 0.0, 0.0, 2.6984876189546148E-8, 0.0, 2.0186258771989972E-10, 0.0, 0.0, 0.0, 2.2897969586770773E-7, 0.0, 0.0, 0.0, 0.0, 6.474982992041417E-8, 0.0, 1.113859301091096E-8, 8.265278299654097E-12; 0.13145648186917708, 0.6374314831266285; 0.0, 0.0; 0.0, 0.0
0.12023699180904221, 0.0, 0.0, 8.419287826575536E-7, 0.0, 0.0, 0.0, 8.133500208285903E-8, 0.0, 0.0, 0.0, 0.0, 8.214696066387953E-7, 0.0, 0.0, 0.0, 0.0, 1.1467686278156845E-10, 0.0, 0.0, 0.0, 0.0, 7.920187591263372E-10, 0.0, 0.0, 6.864379754410159E-8, 0.0, 0.0, 0.0, 3.819818602036239E-12; 0.12023699180904221, 0.6532484044327448; 0.0, 0.0; 0.0, 0.0
0.110950448593053, 0.0, 0.0, 2.7079580955548056E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0654522799153241E-6, 2.609922752962732E-7, 9.669246896016852E-6, 0.0, 0.0, 5.185485845178695E-10, 0.0, 0.0, 0.0, 0.0, 7.487502285957879E-10, 0.0, 0.0, 4.205245710455271E-7, 0.0, 0.0, 0.0, 6.383026474356933E-12; 0.110950448593053, 0.6669107708940525; 0.0, 0.0; 0.0, 0.0
